"gene_name","gene_id","baseMean","log2FoldChange","stat","pvalue","padj","B_statistic"
"LOX","ENSG00000113083",3.00123558054023,0.129800416365797,0.411524506600703,0.683814671731732,0.858807658093552,-6.22683274216874
"SIPA1L1","ENSG00000197555",5.45420620248453,-0.0784123285298399,-0.411385138362091,0.683915661483047,0.858879044509146,-6.29448871851222
"TUSC8","ENSG00000237361",-0.457584511217044,-0.339905890355778,-0.411304805696604,0.683973875272859,0.85889670601331,-5.3377918848849
"INPP4B","ENSG00000109452",3.47171830427708,0.175153654315982,0.411011737121778,0.684186266842437,0.858953018804546,-6.21682304932691
"HPS5","ENSG00000110756",5.1949894525537,-0.137573771280365,-0.410999230031933,0.684195331520265,0.858953018804546,-6.30113100181866
"KIAA1462","ENSG00000165757",4.59841507560726,0.108643506210404,0.411168004054419,0.684073014372378,0.858953018804546,-6.30252321689925
"MUS81","ENSG00000172732",3.45091124438949,0.0510453724081543,0.411060013600881,0.684151278279328,0.858953018804546,-6.16649545531794
"CKS2","ENSG00000123975",1.57748157454865,-0.164567785787586,-0.41067938701267,0.684427158249315,0.859153160924878,-5.72760654320281
"GATA5","ENSG00000130700",-0.772117808815962,-0.269224471722021,-0.41061354431011,0.684474885860075,0.859153160924878,-5.47287720354073
"FUT1","ENSG00000174951",1.21912778401428,0.114069273392265,0.410596496172272,0.68448724381488,0.859153160924878,-5.74655841355955
"TRIM21","ENSG00000132109",3.29556997367484,0.0994588520549824,0.410529088202759,0.684536107773935,0.859159060686073,-6.16937343457772
"DNMT3A","ENSG00000119772",4.27596374895829,0.0986918140148072,0.410112879280147,0.68483784796613,0.859426880036969,-6.28058741389127
"C4orf32","ENSG00000174749",4.14392643649972,-0.0798633918903322,-0.410158842224271,0.684804523471532,0.859426880036969,-6.2570585844114
"CACNB2","ENSG00000165995",3.10137446832097,-0.152372608909248,-0.41001118857549,0.68491157903421,0.859463965589338,-6.01433081552545
"AC127496.1","ENSG00000261924",-0.917147658530825,0.320623661059595,0.409865048699058,0.685017543613655,0.859541492096236,-5.28634890435587
"AC139887.4","ENSG00000272588",-0.906759868473866,-0.265682506503994,-0.409796482588135,0.685067262474949,0.859548437548382,-5.28547027016885
"MMRN1","ENSG00000138722",4.32377298910822,0.193231209731032,0.409645711580099,0.68517659505256,0.85963017413598,-6.2951626092556
"DDX51","ENSG00000185163",3.38860253668065,0.0661913161803511,0.409521392978912,0.685266750724719,0.859687842174417,-6.14733462488369
"CC2D1B","ENSG00000154222",4.18516304721516,0.0778873623564786,0.409278869096612,0.685442642297949,0.859797611919808,-6.26604796420831
"STRADBP1","ENSG00000213205",-1.01497858930886,-0.188791026433344,-0.409324505603343,0.685409542836042,0.859797611919808,-5.28122791142991
"AURKA","ENSG00000087586",0.772308418732114,-0.174860638470276,-0.409175240912943,0.685517804601609,0.859836452012876,-5.58282637332002
"KIAA1211L","ENSG00000196872",1.25418181719423,-0.12811980523047,-0.409058804755059,0.685602260540068,0.859886943236831,-5.87695867494219
"DHX40","ENSG00000108406",3.99846359985533,0.0636744901975961,0.408771634923534,0.685810574340726,0.859926452673186,-6.25262284873289
"APBB2","ENSG00000163697",5.57578581804834,0.0590589454858845,0.408816426654133,0.685778080636232,0.859926452673186,-6.2954202374689
"PBRM1","ENSG00000163939",5.94004665102103,-0.0573245147031027,-0.40879393373437,0.685794397819084,0.859926452673186,-6.28475028114407
