"gene_name","gene_id","baseMean","log2FoldChange","stat","pvalue","padj","B_statistic"
"GGT5","ENSG00000099998",5.63654955294379,1.55949282176209,6.93881646807488,1.5069813424139e-07,3.96173176152974e-05,7.41368625188482
"ST14","ENSG00000149418",4.30445327128976,2.62552209589384,6.94990585748061,1.46411772043597e-07,3.96173176152974e-05,7.47931179805816
"COLEC12","ENSG00000158270",0.840811541862743,4.09584009207794,6.94914318583003,1.46702556928807e-07,3.96173176152974e-05,7.14199376772015
"COL1A2","ENSG00000164692",6.79403312962897,2.49924530151928,6.93882450604969,1.50694981574443e-07,3.96173176152974e-05,7.45223941553513
"SH3YL1","ENSG00000035115",3.63564790015833,1.57325120006951,6.90430685796354,1.6487117361009e-07,4.0817636899952e-05,7.37380417946328
"CD5L","ENSG00000073754",3.67166756249287,-4.37324205533863,-6.89953607523331,1.66934431902332e-07,4.0817636899952e-05,7.37494238022054
"F13A1","ENSG00000124491",4.24485993634446,3.41713906973486,6.91189012322369,1.61644777302984e-07,4.0817636899952e-05,7.39773654642374
"GOLM1","ENSG00000135052",5.2918268221079,2.01458558138644,6.89373920435898,1.69476806812401e-07,4.0817636899952e-05,7.30383390826632
"EDIL3","ENSG00000164176",0.856500155019947,3.4645394838926,6.91942052242511,1.58504361941661e-07,4.0817636899952e-05,7.03650347388931
"ROBO1","ENSG00000169855",4.73859528376557,1.49440032024556,6.89266756876407,1.69951094319734e-07,4.0817636899952e-05,7.3006280183468
"COL14A1","ENSG00000187955",5.99048389287017,1.65016056295129,6.90581373437185,1.64224883706873e-07,4.0817636899952e-05,7.335710823715
"MDFI","ENSG00000112559",-0.890613461363075,4.3038862443466,6.87743953250197,1.76838419319838e-07,4.17576958717314e-05,6.4046516154057
"CDH11","ENSG00000140937",3.17593295007173,2.58434650407356,6.87459047959131,1.78158155513196e-07,4.17576958717314e-05,7.31481767314466
"IGFBP7","ENSG00000163453",8.12473635957219,1.61057796481075,6.86093125082928,1.84625773576102e-07,4.27584499898749e-05,7.27580538622364
"PPP1R14A","ENSG00000167641",2.21590930893441,2.11210767871095,6.8275302481682,2.01464909207373e-07,4.61093922790616e-05,7.17107166603009
"TPM1","ENSG00000140416",6.33508140379636,1.852560539091,6.81950252529375,2.05739676129124e-07,4.65402285978603e-05,7.12744471235226
"KIF26B","ENSG00000162849",2.09382623990739,2.02172228577658,6.78991678297742,2.22305704162739e-07,4.97095996411716e-05,7.0807204020921
"EPHA3","ENSG00000044524",4.63760134558135,1.93089508809292,6.75660007635648,2.42590432865452e-07,5.34018680307286e-05,6.96343934321712
"PALM2-AKAP2","ENSG00000157654",3.80412042240025,-0.961390103369144,-6.7539103437452,2.4430791892335e-07,5.34018680307286e-05,6.97425915655686
"FBLN1","ENSG00000077942",4.16162889757198,2.32102859456995,6.74093020691712,2.52771407514429e-07,5.40375270525901e-05,6.94681409362132
"SPON1","ENSG00000262655",3.54742778365188,2.68889697311849,6.74388605838519,2.50818272204857e-07,5.40375270525901e-05,6.98120983078694
"VIM","ENSG00000026025",8.30351233184477,1.59954615322652,6.71672017624945,2.69361334988612e-07,5.69582109877005e-05,6.9147549748652
"CDH6","ENSG00000113361",4.15926027044672,3.66814038795288,6.70293066084543,2.79300594044171e-07,5.84248791025302e-05,6.87521131793384
"TUSC3","ENSG00000104723",3.03003167260956,1.49454388902698,6.68511491301214,2.92695538441636e-07,6.05755213281232e-05,6.83669077039694
"CFP","ENSG00000126759",3.64190979975779,-2.46949621632247,-6.66934383173408,3.05096741321274e-07,6.24773895333059e-05,6.78142274055284
"RARRES1","ENSG00000118849",2.02400049423346,1.94789350766493,6.65545281760669,3.16460894194401e-07,6.39826366499409e-05,6.72781124724903
"NEURL1B","ENSG00000214357",4.25322357568653,1.71476115579333,6.65238841257455,3.19025175030548e-07,6.39826366499409e-05,6.70171588012966
"COL16A1","ENSG00000084636",3.61905718069775,2.73336291345268,6.6451077072028,3.25202549203475e-07,6.4556024410249e-05,6.72574814675873
"TP53INP2","ENSG00000078804",6.15343238129116,-1.28842038732619,-6.62465032151682,3.43217602709985e-07,6.74439923547479e-05,6.60784649098043
"VASN","ENSG00000168140",4.95735531583873,1.19237078848577,6.61945845210554,3.47948664366045e-07,6.76899331657703e-05,6.5847147342954
"LOXL1","ENSG00000129038",2.35094822990147,2.88432910327004,6.61019553121819,3.56554453985596e-07,6.86773301765919e-05,6.6265233123375
"MXRA8","ENSG00000162576",4.1665433909004,2.17664705340118,6.60644903410008,3.60096226895374e-07,6.86795293923785e-05,6.59534512942285
"ITIH5","ENSG00000123243",3.47928816222605,2.48362396586013,6.59306353360644,3.73044515334606e-07,7.04583301098973e-05,6.59565728562231
"RAB3B","ENSG00000169213",2.41881267826936,4.82706415243184,6.58750857643554,3.78555820436361e-07,7.08117781804709e-05,6.47892789875015
"STPG1","ENSG00000001460",1.55597374048555,1.58485524448058,6.57872232770468,3.87442227615575e-07,7.17838199622229e-05,6.49943202857378
"HKDC1","ENSG00000156510",2.81540835173466,4.78054371699032,6.57204576188911,3.94336193197451e-07,7.23718519100303e-05,6.47763434584618
"SNAI1","ENSG00000124216",2.82218344048387,2.0408045301906,6.56055658796477,4.06492159836045e-07,7.39055932472001e-05,6.52342288072464
"DPYSL2","ENSG00000092964",6.61110906111323,0.937555856511036,6.54462329484792,4.23982134149312e-07,7.49189914419025e-05,6.41685899276941
"KIAA1211","ENSG00000109265",2.58605707164243,2.23036701172364,6.53204286334735,4.3832963535731e-07,7.49189914419025e-05,6.44607816484892
"DBN1","ENSG00000113758",3.25687999719921,2.18571498508576,6.53439284305097,4.35612658497765e-07,7.49189914419025e-05,6.44685339696951
"LOXL2","ENSG00000134013",3.26211049954969,2.18654473509581,6.53144500894137,4.39023595372514e-07,7.49189914419025e-05,6.44116015237792
"PLAC8","ENSG00000145287",2.67766644312392,-2.02485783495638,-6.53574831767788,4.34053273059198e-07,7.49189914419025e-05,6.46082002764941
"CREB3L1","ENSG00000157613",1.65282536202836,2.92183022462515,6.54896682720031,4.19139897194544e-07,7.49189914419025e-05,6.40497315024216
"OPLAH","ENSG00000178814",5.02754734886713,-1.02495094841592,-6.53220645858859,4.38139935986718e-07,7.49189914419025e-05,6.35475570770075
"FIBIN","ENSG00000176971",0.834791229198904,2.04866716292796,6.52518270964361,4.46359878123955e-07,7.5508565817595e-05,6.20069161093731
"COL4A1","ENSG00000187498",8.01386973287262,2.30728545095386,6.51949228959941,4.53133996049347e-07,7.59936961995173e-05,6.40882288261651
"ROR2","ENSG00000169071",1.58218996976819,2.82935893019476,6.51352416817003,4.603507746547e-07,7.65441364968592e-05,6.296399532327
"ARHGAP6","ENSG00000047648",2.12776848810402,1.14155094266532,6.49603469686724,4.82177949934927e-07,7.8473892586e-05,6.35239075404356
"PAPPA","ENSG00000182752",3.09536184847023,2.56455207542468,6.49456589781023,4.84058142814845e-07,7.8473892586e-05,6.35117086905484
"ENPP1","ENSG00000197594",6.42294148184288,-1.89447833944069,-6.49832130393037,4.79265617166396e-07,7.8473892586e-05,6.2929291449615
"COL3A1","ENSG00000168542",8.29685515558003,2.13933095369305,6.48595497967492,4.95231413079156e-07,7.96217513226603e-05,6.32804494051161
"CAPG","ENSG00000042493",2.44827931952175,3.07554906756693,6.45428576882364,5.38622719968767e-07,8.51899706851414e-05,6.24500763993916
"DPYSL3","ENSG00000113657",4.25749707557592,2.04265158345745,6.45663204938686,5.35279703417192e-07,8.51899706851414e-05,6.19543401549441
"NFASC","ENSG00000163531",4.86626425510557,2.06806044159916,6.44832117137734,5.47216787793822e-07,8.58512531430726e-05,6.15688963561947
"FSTL3","ENSG00000070404",4.47834158097131,3.00301120042385,6.43367654335147,5.68911898471086e-07,8.82432502287013e-05,6.15115936369215
"FAM135A","ENSG00000082269",3.74695455213843,0.93527823149255,6.42896772211947,5.76071387840293e-07,8.82432502287013e-05,6.13201302408473
"VSIG10","ENSG00000176834",4.23056464337281,1.0344844906613,6.4296721789499,5.74994520377735e-07,8.82432502287013e-05,6.11179773542649
"CXorf36","ENSG00000147113",2.46568336913568,2.14733024710849,6.4231086257436,5.85107472031511e-07,8.89271934445392e-05,6.17266414335412
"PPP1R13L","ENSG00000104881",4.09900959522146,1.70715455023845,6.40883728700265,6.07723069168104e-07,8.96903478296673e-05,6.07077588204121
"SPRY1","ENSG00000164056",4.17299861783286,1.62779796339401,6.41008690396021,6.05707908242748e-07,8.96903478296673e-05,6.07494523238239
"KIRREL","ENSG00000183853",3.79323651856,1.67022532428407,6.40831318835513,6.08570263879721e-07,8.96903478296673e-05,6.09311552366928
"S100A10","ENSG00000197747",5.6254212999138,1.44319913777888,6.41619886629169,5.95948750533431e-07,8.96903478296673e-05,6.05890794847708
"PCDHB4","ENSG00000081818",0.461324452112704,1.43496651998854,6.40543258971888,6.13248107345543e-07,8.97002156413549e-05,5.86524641656134
"PDLIM7","ENSG00000196923",3.68720348631697,1.78382879323519,6.40123930301,6.20122860483082e-07,9.00288815510289e-05,6.07315425243025
"SIPA1L3","ENSG00000105738",5.42578791370817,0.969444082789293,6.37169380292537,6.7082793197292e-07,9.32163327757228e-05,5.93424689671865
"GLI1","ENSG00000111087",0.281253957105065,2.17904069302843,6.37690824548273,6.61583079149222e-07,9.32163327757228e-05,5.76613235198313
"ACAD10","ENSG00000111271",4.78213608856871,-0.734551070026301,-6.3747888579077,6.65324936471303e-07,9.32163327757228e-05,5.94446733969211
"LOX","ENSG00000113083",3.00123558054023,2.16587078579938,6.37876985652882,6.58313929778796e-07,9.32163327757228e-05,6.06026589113115
"SOX4","ENSG00000124766",4.37786164051784,2.23083238852582,6.37214798199171,6.70017525155476e-07,9.32163327757228e-05,5.97529978481486
"SSC5D","ENSG00000179954",4.35388617119398,2.13454181578797,6.37815906370888,6.59384726416874e-07,9.32163327757228e-05,5.99252705988853
