"gene_name","gene_id","baseMean","log2FoldChange","stat","pvalue","padj","B_statistic"
"PLAT","ENSG00000104368",3.83956677997708,1.79131675732316,6.12868056616709,1.28429488772171e-06,0.000499693454914763,5.40622427469452
"AQP1","ENSG00000240583",5.89167309264464,2.70224215566118,6.09375213648934,1.41054246056047e-06,0.000538052804465557,5.31487351080493
"WIPF3","ENSG00000122574",2.18206767882349,2.53808814173851,6.05654144225857,1.55889089816913e-06,0.000581729382892803,5.21106995502423
"AL590666.2","ENSG00000229953",-0.353627272344759,4.1984561576053,6.04345055522708,1.61475206519026e-06,0.000581729382892803,4.50651095962939
"TRNP1","ENSG00000253368",2.8736795511153,2.85193465086858,6.04452708737996,1.61008290731217e-06,0.000581729382892803,5.20115573547903
"FBLN1","ENSG00000077942",4.16162889757198,2.34107357071752,6.02899957299953,1.67877065991211e-06,0.000593796443962366,5.14650150004066
"EPCAM","ENSG00000119888",3.00699220582245,3.98639703196404,6.00036983752376,1.81328119347928e-06,0.000619901636122415,5.0914643132108
"SPINT2","ENSG00000167642",2.77879618753018,1.91059039426125,5.99329447639863,1.84816977974196e-06,0.000619901636122415,5.08084830825939
"AP001351.1","ENSG00000248027",-1.49997255726463,-4.01312035591854,-5.99668001625065,1.83139184901012e-06,0.000619901636122415,3.58702092792753
"ANXA2","ENSG00000182718",6.63816339140949,1.62192007568104,5.97329574935802,1.95049644666141e-06,0.000643134879209339,5.00270441333915
"CD24","ENSG00000272398",4.84971098878512,3.3696334626674,5.95468489621929,2.05086012745076e-06,0.000664957215323786,4.96001015123186
"FBN1","ENSG00000166147",5.83290995205686,1.56489999636259,5.94522584009539,2.10385422042738e-06,0.000670957049249087,4.90587234451047
"RARRES1","ENSG00000118849",2.02400049423346,1.90022996957338,5.90317466853516,2.35670623309638e-06,0.000727735921565984,4.82014674161232
"PARM1","ENSG00000169116",2.43803641693264,2.14738864958189,5.90323566659437,2.35631806147289e-06,0.000727735921565984,4.84746594443785
"NEO1","ENSG00000067141",5.43785172651475,1.20532199258969,5.88723536150773,2.460384223608e-06,0.000730831026710894,4.74715263652445
"KCNK15","ENSG00000124249",-0.0708454480427178,2.33479433249764,5.85569050038259,2.67934840484371e-06,0.000730831026710894,4.23492164317779
