Gene,Log2change,p-value,adj_pvalue
ACES,-0.626046423693427,0.0739947868185228,0.151789252446662
ACINU,0.160422935088285,0.0204056926389674,0.0575833931349816
ACL6A,0.235350001615234,0.0331701632779378,0.0832237986070602
ACLY,-0.0513085646146395,0.716183382792474,0.801996037665754
ACMSD,-0.711558312505623,2.16804632222924e-05,0.000393118564810834
ACO12,-0.277436172197917,0.0382164172032601,0.0929359289629058
ACO13,-0.661212883806742,5.79188017718542e-05,0.000746499529772479
ACOC,-0.258689629454619,0.0003910482302414,0.00296024781844586
ACOD,0.427930893710443,0.0999939229445015,0.191594651257638
ACON,-0.116435119831632,0.126150862062665,0.227987066922865
ACOT1,-0.480127139151811,0.00559475777747217,0.0214773734500558
ACOT2,-0.0790902102928513,0.800609436209399,0.867081950822662
ACOT4,-0.514372115729925,0.0306595466765592,0.0784908955304436
ACOT8,-0.0566873837750496,0.729219609668949,0.812480303044863
ACOT9,0.100197912510762,0.0407808201463257,0.097320750006944
ACOX1,-0.218074539741327,0.0342350802464241,0.0853651058160185
ACOX2,-0.558284677580341,2.40856759142835e-05,0.000421915700549078
ACOX3,-0.185183465655307,0.0160731293694198,0.0483634232760867
ACPH,-0.361709525921275,5.94584835452234e-05,0.000755043988065999
ACPM,-0.628811546946989,1.12522979188748e-08,5.26663635347951e-06
ACS2A,-0.980925992741552,2.05407127818439e-08,7.16123941076103e-06
ACS2B,-0.948131849156714,1.17694614693013e-08,5.26663635347951e-06
ACS2L,0.179198278435958,0.0814651133445058,0.162802871118384
ACSA,-0.474536024465711,0.0381594434455362,0.0928562599071265
ACSF2,-0.253246324186473,0.0498754877338245,0.113178991395986
ACSF3,-0.0844332017292136,0.161049252940444,0.274427895967719
ACSL1,-0.764297060124916,1.16354594027361e-06,6.42042975676158e-05
ACSL3,0.255125554625192,0.0155622361296866,0.0471974500255817
ACSL4,0.892280571518639,0.00094180675158003,0.00566561394872065
ACSL5,-0.813000543830146,2.37141017150479e-07,2.27605810176443e-05
ACSL6,-0.475669475822117,0.0254752930792734,0.0682485148159368
ACSM1,-0.815958214145316,0.198208720004659,0.321340283753062
ACSM3,-1.00745829101135,1.09977018661348e-10,8.30071081138633e-07
ACSM5,-0.336236445982875,0.00680668922307394,0.0249199552940225
ACSS3,-0.205090136956847,0.0381140621429667,0.092775263927818
ACTA,0.665441051652801,6.79669036459288e-09,4.1558424530762e-06
ACTB,0.457420080414565,2.75113112217277e-05,0.000458659997023449
ACTBL,0.0175803443268579,0.90464847305979,0.940706858509841
ACTBM,0.209066325161918,0.00133945890490948,0.00742315737041598
ACTC,0.135287568287455,0.29190988969526,0.427606732995157
ACTG,0.0413848622940716,0.840115250253325,0.8968244912238
ACTN1,0.322219637391835,1.225294128453e-05,0.000267027504333135
ACTN2,0.481545068268695,0.00036543127600146,0.00281411434430843
ACTN3,0.285029422253612,0.192495304997755,0.313269465167151
ACTN4,0.314601669168325,7.2044938220935e-05,0.000863413556491518
ACTY,0.193839794002,0.017066575746355,0.0506581408570212
ACTZ,0.128821571466352,0.0644433104186556,0.136995618323472
ACY1,-0.311847771234572,0.00855239781097049,0.0295450825083899
ACY2,-0.142374329743833,0.344126564906885,0.479464260278984
ACY3,-0.432657643238649,0.0827501779977801,0.164898380161853
ACYP1,0.411383796597517,2.80029877032326e-05,0.000463893986358087
ACYP2,-0.226629394789316,0.0439355773104047,0.102959327213811
ADA,0.158889724373224,0.0492705855360541,0.112271238092851
ADA10,0.204623725296525,0.0173910114665406,0.0513745164751334
ADA17,0.579521159817142,2.65142497647848e-05,0.000448927805068211
ADA2A,0.777808103118617,0.0240025212726706,0.0650597011720403
ADAL,-0.359997399358558,0.0859397639325886,0.170061400764436
ADAM9,0.17352734957097,0.335857621527621,0.471211164268554
ADAP1,0.353085103350489,0.116678357423701,0.21533277224249
ADAP2,0.340314662596225,0.208109283626504,0.333444371300457
ADAS,-0.0125780041203146,0.848568865557326,0.902457459626274
ADCK1,-0.541475586943025,0.0158529388929426,0.0479086057166547
ADCK5,-0.187274978880258,0.170299044615485,0.286407862374271
ADCY1,0.131799822744068,0.286846311057634,0.422286219925538
ADCY9,-0.0626913194465146,0.737701594614923,0.818744907360673
ADDA,0.564723948239124,7.31852274295679e-06,0.000192236539172872
ADDG,0.50706771087033,4.82836672592681e-05,0.000660134987305858
ADH1A,-1.35076223551389,3.31692802161298e-06,0.000124709989832214
ADH1B,-1.41192083852297,7.1187847880524e-06,0.000190247663151087
ADH1G,-1.04471111598247,0.00065125445483616,0.00425116737752625
ADH4,-2.00913098575616,1.97269595206911e-07,2.13106731723522e-05
ADH6,-1.6322889940335,1.55121055227739e-06,7.60748646458201e-05
ADH7,-0.869559832427047,0.0232014913759854,0.0633744440362564
ADHX,-0.508538315808706,9.59007222133096e-06,0.00022772710197402
ADIPO,0.977877808771136,1.50653284950486e-05,0.000301692317913825
ADIRF,0.366864736834845,0.0439193827827404,0.102952831889859
ADK,-0.767969665582253,7.84975044821875e-05,0.000920605289569386
ADNP,0.206592933455213,0.0573692113719492,0.125792410298128
ADPGK,-0.0478813155231424,0.624336501460206,0.729756319140472
ADPPT,-0.114866630157635,0.157309494844203,0.26944256932895
ADPRH,0.116142137389307,0.382388559734162,0.518458591684819
ADRM1,-0.150931359898683,0.129035879873261,0.232052801554024
ADRO,-0.13107229943131,0.066391156245289,0.14001104437761
ADSV,0.679469670259856,0.00173092762048937,0.00897648062823088
ADT1,-0.286996729650743,0.0263943440622806,0.0699774002619054
ADT2,-0.459352674269291,1.50399606119216e-05,0.000301692317913825
ADT3,-0.516715265044398,0.0243711462873068,0.0658192577548039
ADX,-0.304686396744079,0.00601849572400663,0.0226394616003584
AEBP1,0.481789327760819,5.54299629378156e-06,0.000163518390666556
AEDO,0.932704685030465,0.00203357685315656,0.0101151325964402
AES,0.185259325690894,0.101331037774707,0.193528152323706
AF10,0.0441529641187091,0.876082464901453,0.920790893327253
AFAD,0.00967253725109927,0.786941744648179,0.85699888988379
AFAM,0.411818089047982,3.94475936787863e-05,0.000578514423549313
AFAP1,1.07752849906836,6.55493282733468e-05,0.000803136338429025
AFG32,-0.154016164315139,0.123985614487975,0.225028315930612
AFTIN,0.240723876427241,0.139242684111458,0.245628193913267
AGAL,0.18068416979584,0.148354022392886,0.258301025689669
AGAP3,0.120435020225369,0.229867598377316,0.360053076967059
AGFG1,0.334401135753298,0.00569493359351087,0.0217422302947876
AGFG2,0.0740993240296901,0.650962315338809,0.751468535920035
AGK,-0.0633236822292953,0.300416505758198,0.435493214735471
AGM1,-0.0737669575940983,0.29293800814508,0.428539866960283
AGO1,0.132463155125594,0.038795360498322,0.0938676388082428
AGO2,0.224618314125699,6.98072434215756e-05,0.000844513496914014
AGO3,0.0923907667709682,0.211075667600836,0.337211074879903
AGR2,0.577767521973601,0.148703865292087,0.258630078637258
AGRA2,0.35072036329911,0.00592928855063182,0.0223917494748134
AGRE2,0.134865056879674,0.615637144398263,0.722892972678303
AGRF5,-0.252935788240941,0.0368051650138909,0.0902768198453928
AGRIN,0.640917853574935,6.3113612078241e-06,0.000176672045489091
AGRL2,0.319957510831012,0.0053161207740961,0.0206455748088397
AGT2,-0.529022825405918,0.00011782731394646,0.00126016529745566
AHDC1,-0.0595666512765357,0.710640607221126,0.797689661552179
AHNK,0.764231027496636,1.14635953886212e-06,6.37143308918294e-05
AHR,0.0372084893011912,0.663285315054232,0.760675593072063
AHSA1,-0.103101466756752,0.0421446567873174,0.0998717874472575
AHSP,0.658046626468846,0.00018106738329737,0.00168612359691388
AIDA,0.179615880263819,0.04466371386508,0.10418816464269
AIF1,0.142037563293176,0.0725841415077467,0.149656012194736
AIFM1,-0.45556743865256,3.7028037776402e-05,0.00055687264655883
AIFM2,-0.0967395443768132,0.296937637456241,0.432023324063618
AIG1,-0.64838964232069,0.0649027880432529,0.137810638771617
AIM1,0.193093949255228,0.155841090380161,0.267747661097189
AIMP1,0.127531986011643,0.0582412543959439,0.1271954502326
AIMP2,0.105051806194525,0.253624980746453,0.386049534099086
AINX,1.24421683769893,9.53973742578176e-06,0.00022772710197402
AIP,0.0985490660078795,0.15596287093074,0.267793870615352
AK17A,-0.0190575515384388,0.823311874437387,0.883930861832973
AK1A1,-0.512047232987305,0.00035113869356015,0.00273702619878694
AK1BA,0.848724454462708,0.0009095731281396,0.00553245510930272
AK1BF,0.666563806548278,0.00014324881389106,0.00144320118707652
AK1C1,-0.586224381310955,0.0013188575546174,0.00732486418820815
AK1C2,-0.833119896935638,0.0199110157503577,0.0566459535627758
AK1C3,-0.454749398142693,0.00041860861484769,0.00309616979352149
AK1C4,-0.606781493243261,0.00016011540423673,0.00155848369352249
AK1D1,-1.09218541815331,4.43191989300753e-06,0.000146520799911068
AKA11,-0.339060112872689,0.0100224300840907,0.033364600149729
AKA12,0.113567847600768,0.172358557369779,0.288818845744774
AKA7A,1.09898314872459,8.59694636944057e-06,0.000211211101534865
AKA7G,-0.231182933787666,0.0987438915806315,0.189958778134799
AKAP1,-0.0579947697493932,0.691126377153544,0.783235714061419
AKAP2,0.0918043048716515,0.256466042439778,0.388508367883256
AKAP8,0.197254382274579,0.0749561463558717,0.153256881624733
AKAP9,-0.140376243700164,0.0580115710965846,0.126766025729574
AKIB1,0.0281820243197178,0.778029097789186,0.85067472274313
AKIP,0.26155656997298,0.214998483125021,0.341982240889447
AKNA,-0.15380084384386,0.356975018607084,0.491738217082675
AKP13,0.0443361550754959,0.586560617489795,0.69973544206604
AKP8L,0.140373300489281,0.114719063306485,0.212689198830249
AKT1,0.043505552876875,0.692632674987107,0.784494261003648
AKT2,-0.291872399314048,0.00017830059717071,0.00167307182324733
AKT3,0.521156312051902,0.216993369060673,0.344156149854293
AKTIP,-0.223936190209406,0.12945427228731,0.232478171024038
AKTS1,-0.167958695789285,0.151156623836013,0.261886447892979
AL1A1,-0.183807371661528,0.0494191218221752,0.11247616153593
