Gene,Log2change,p-value,adj_pvalue
ABLM2,0.259501491990388,0.00450006307572737,0.0100122510646806
ABLM3,-0.221265855067444,1.54636971089613e-05,6.57036822096616e-05
ABR,0.421716121818897,3.17985403267954e-06,1.58499701008755e-05
ABRAL,-0.541807214529862,0.00230202421944167,0.00557514716798868
ACACA,-0.604362680679227,3.70142328693838e-16,2.28814188042304e-14
ACACB,-0.869228661783909,8.53123119349494e-20,1.58301613358346e-17
ACAD8,-0.192172698326527,0.00256213721220106,0.00612436515778915
ACAD9,-0.0617623752925384,0.228505578042519,0.29870302133759
ACADL,-0.286502686337699,0.0227115361642586,0.0408490007094218
ACADM,-0.428436154038182,3.81197269732613e-05,0.00014652327725108
ACADS,-0.97892118871777,4.65612806258909e-12,1.05048784008589e-10
ACADV,-0.0612688326171712,0.468622323930244,0.543988243033814
ACAP1,0.199938011803638,0.0464192466122309,0.0761903652116515
ACAP2,0.129009950762836,0.0132717120717456,0.0257491904313777
ACATN,-0.687945747672682,1.94910727509732e-09,2.12720109401003e-08
ACBD4,-0.515365283452542,0.0918291282583218,0.137024473726786
ACBD5,-0.193566124992341,0.0341536456352454,0.0582385701042107
ACBD6,-0.036802919005516,0.719705759099344,0.776027059420142
ACBG1,-0.858697190038334,0.00106749195488595,0.00280735103064076
ACBG2,-0.550994215217681,0.00247700956925356,0.00593559187464611
ACBP,-1.52890332555539,3.52936298639418e-22,1.70203530018859e-19
ACD10,-0.127155163342673,0.0685340072792754,0.107024569958893
ACD11,-0.70152155565327,1.95522575248685e-13,6.18300078122481e-12
ACDSB,-1.2831145852886,4.119872404929e-20,9.34968690483299e-18
ACE,-0.222913346286999,0.0324533316760556,0.0557703698547495
ACES,-0.00305239674830805,0.98678224580449,0.989603822280666
ACINU,0.301539653515527,5.58468467039265e-05,0.000204321607002132
ACL6A,0.0580282741795099,0.532515013396542,0.605135132533794
ACLY,-0.252691769672101,0.00124615289100176,0.00322121129211711
ACMSD,-0.818169945571025,3.84025168513125e-14,1.41101819059394e-12
ACO12,-0.161721319569402,0.083755941374973,0.12654412446628
ACO13,-0.994472558947803,2.34465592105864e-16,1.55960043852487e-14
ACOC,-0.625741801877983,3.06871681608876e-20,7.17521786452754e-18
ACOD,-0.0236442774278357,0.908129345959929,0.929943733699643
ACON,-0.199700609605185,0.0128490777047552,0.0250299125397352
ACOT1,-0.626605475102785,1.64428563994586e-07,1.11712484386922e-06
ACOT2,-0.780873627032374,1.37124913111918e-07,9.49780816491525e-07
ACOT4,-0.53632748364709,0.00099014500692433,0.00262792503516556
ACOT8,-0.0150022180621611,0.882463200679112,0.909454528708432
ACOT9,0.271370692466992,4.12476127183466e-06,1.9991619330073e-05
ACOX1,-0.428449018206538,1.9983249538092e-07,1.32466283020548e-06
ACOX2,-0.853301070772214,2.38725688215202e-19,3.75919879646632e-17
ACOX3,-0.159189981718821,0.00406077255172372,0.00916435244489624
ACPH,-0.506282029946403,4.37035724185453e-14,1.57577927467989e-12
